,sensor,agg,axis,feature_name,fi_all,fi_dynamic,fi_standing,fi_sitting,fi_laying,fi_walking,fi_walking_up,fi_walking_down
162,tBodyGyroJerk,mean(),Z,tBodyGyroJerk-mean()-Z,0.0002480236080996733,0.0,0.0005420674604437582,0.0017587135654564558,0.0002042713042933797,2.088076593908078e-05,9.743982659177731e-05,9.743982659177731e-05
163,tBodyGyroJerk,std(),X,tBodyGyroJerk-std()-X,0.002097416485625422,0.0,0.001822047873537928,0.003496122222528848,0.00017520840210491744,0.009929749965050935,0.0007917729860620129,0.0007917729860620129
164,tBodyGyroJerk,std(),Y,tBodyGyroJerk-std()-Y,0.00036357267776903674,0.0,0.0005666603293555071,0.000871824176862065,0.0,0.00015470993768053603,0.0001428052654922708,0.0001428052654922708
165,tBodyGyroJerk,std(),Z,tBodyGyroJerk-std()-Z,0.0002546951977131412,0.0,0.0004021123226309277,0.0004242729619973028,0.00024600375916788763,0.003747480198457966,0.006424048552697637,0.006424048552697637
166,tBodyGyroJerk,mad(),X,tBodyGyroJerk-mad()-X,0.0013277862109603892,0.0,0.0034471751935822837,0.006744370994769239,1.2307862521833479e-05,0.01122648065464061,0.0010308771777091743,0.0010308771777091743
167,tBodyGyroJerk,mad(),Y,tBodyGyroJerk-mad()-Y,0.00029209509322884167,0.0,0.00045916266180194326,0.0005954454315014788,0.00014206807828763567,2.4551399951481428e-05,0.0009872697265832352,0.0009872697265832352
168,tBodyGyroJerk,mad(),Z,tBodyGyroJerk-mad()-Z,0.002483910380786951,3.98216498640711e-05,0.0003867565403586475,0.0004969530686950109,0.0024338709108337997,0.003513372986721313,0.010084280943889355,0.010084280943889355
169,tBodyGyroJerk,max(),X,tBodyGyroJerk-max()-X,0.0007085977537561529,0.0,0.0009297128944019931,0.00300886218852662,0.00011911348374303782,0.0003643493545880489,0.0006632248634305121,0.0006632248634305121
170,tBodyGyroJerk,max(),Y,tBodyGyroJerk-max()-Y,0.000343662034937873,0.0,0.0006709063104159174,0.0004661623015256659,0.0,0.00016722807091394662,0.0005117952477214104,0.0005117952477214104
171,tBodyGyroJerk,max(),Z,tBodyGyroJerk-max()-Z,0.00043854152254025204,0.0,0.00024368679585385679,0.00045062721730723654,0.0006094047342316935,0.003225918590769249,0.0004580466128241338,0.0004580466128241338
172,tBodyGyroJerk,min(),X,tBodyGyroJerk-min()-X,0.0007701855662813759,0.0,0.0022622012160686397,0.004601157689533416,0.000184092427421038,0.00030758861007702966,0.0005214299559268161,0.0005214299559268161
173,tBodyGyroJerk,min(),Y,tBodyGyroJerk-min()-Y,0.00023263533348258535,0.0,0.00044652596460112383,0.0008806096447517993,0.00014425113491153097,0.00026670659113084123,0.00022193124656442445,0.00022193124656442445
